article_id;batch_#;article_#_in_batch;headline;sentiment_GPT4_A;sentiment_GPT4_B;sentiment_GPT4_C;sentiment_GPT4_D;sentiment_GPT4_E;sentiment_GPT4_F;sentiment_GPT4_G;sentiment_GPT4_H
35d0f68bb7be2fee0fd0990932773e3ff794d66777632e9e5c5c104f78d9b534;7;1;Google officially lays claim to quantum supremacy;positive;positive;positive;positive;positive;positive;positive;positive
d7fabb35ee22a2ac2b64906a450f26bb9197507a952d230da19bf4a195dbe1cf;7;2;Could quantum mechanics explain the existence of space-time?;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
d508b4daa15ec8fd62acb2a37ae1c70b15013bfe81786fe408b1f984f1a7850a;7;3;A weird physics theory is gaining traction. Another version of you might already know it.;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
cea1ee857ff66bf052c61dd4c10226bfd9bc3128c574b5033bd4d9aba32f1d72;7;4;Minuscule drums push the limits of quantum weirdness;neutral;neutral;neutral;neutral;neutral;neutral;positive;neutral
c297f9dd1ad34c426d0ba64b0b62f5a3e8d08985bc429f4d15b1fb6807ec6c75;7;5;IBM is going to sell computers millions of times faster than any ever made;positive;positive;positive;positive;positive;positive;positive;positive
3fb49c5829f403ce8579165971a9e274dd276ae1188eb0486ab1a9bfced37b6e;7;6;Chinese photonic quantum computer demonstrates quantum supremacy;positive;positive;positive;positive;positive;positive;positive;positive
567f9172509ac9c0cc5d143a4d822932d2ed7c2579a60e7df66d69a346581400;7;7;IBM Reveals Quantum Computing Leap With 127-Qubit Processor | Digital Trends;positive;positive;positive;positive;positive;positive;positive;positive
0c460d4fe2ccaf02a8ebb7f2781068508d6a1464195113843415b9e7e95b83d7;7;8;Physicists Got a Quantum Computer to Work by Blasting It With the Fibonacci Sequence;positive;positive;positive;neutral;positive;neutral;positive;neutral
7fb30b8281af8185d53cf4a066048a05413ee901ad5e61b1b5c98baa3ea4808f;7;9;Google's Quantum Computer Just Accurately Simulated a Molecule For The First Time;positive;positive;positive;positive;positive;positive;positive;positive
fc4a2f9e9a2de71d422ab19b466c6f24cfa418709ff3f4b6f79999130679194d;7;10;Physicists reverse time using quantum computer;positive;positive;positive;positive;positive;neutral;positive;positive
e987fc7a843587719db03c4f014d84236021df215151b58332e9d60321fc8374;7;11;Quantum Chip Brings 9,000 Years of Compute Down to Microseconds;positive;positive;positive;positive;positive;positive;positive;positive
97d180af0aa24682c633ce8bde6accef045f396e665634307fc22afccb93c7ee;7;12;Quantum Processor Completes 9,000 Years of Work in 36 Microseconds;positive;positive;positive;positive;positive;positive;positive;positive
46e37ce201a00badaf602f026f9e6e256516a1bbec0d20f4021b8319fa9453cd;7;13;Quantum physics requires imaginary numbers to explain reality;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
bcaed93f93cf90c4d24aaad5664fafef4c94faee13c785ea72976103738cc5b0;7;14;U.S. hatches plan to build a quantum Internet that might be unhackable;positive;positive;positive;positive;positive;positive;positive;positive
e7c9f16fa12e6ba02c25f4f881791448d3e6ae860f982c12c8f9a95ac20a0bf5;7;15;Press release: Breaking the warp barrier for faster-than-light travel;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
02dcb8cb079fe6bf93b3855762205be5be8f5b48d9f3cd25ad5c30a4c369799b;7;16;Google says its quantum computer is more than 100 million times faster than a regular computer chip;positive;positive;positive;positive;positive;positive;positive;positive
fe1b04f530fe136dcd9b1eeae8d90729f270660a59b448eccdf22fb650efdd2e;7;17;'Zeno effect' verified—atoms won't move while you watch;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
95e8e700a8fe4128692b8d92ecacd583e7007015a7fd566c309b847098d652ca;7;18;IBM makes significant breakthrough towards scalable quantum computers;positive;positive;positive;positive;positive;positive;positive;positive
aecbf075ee140d43c79ae518e6688437bc0d6a77943694db030c2c59de817ad7;7;19;Record-setting quantum entanglement connects two atoms across 20 miles;positive;positive;positive;positive;positive;positive;positive;positive
fe3a81093124b4ef278b549b73c19c1445612870b1b41e85983cd8d9d6c4e6f1;7;20;IBM says it will have thousands of quantum computers for sale by 2025;positive;positive;positive;positive;positive;positive;positive;positive
03757a5a3fa20fadf5a935d1415cf4f413258347a8d62d7fc3a9467ac48786a0;7;1;Aliens Could Be Using Quantum Communications to Talk Across Interstellar Space;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
59b4ae6bcd3d51039b4433e1529d7028fbccf1e8b5521346127a7456b73d2709;7;2;Quantum interaction: 10,000 times faster than light;positive;positive;positive;positive;positive;positive;positive;positive
91fedf335be37f1bacc5d0e395f1169bb3d3180d61748375aae332bada4960ec;7;3;Google’s New Chip Is a Stepping Stone to Quantum Computing Supremacy;positive;positive;positive;positive;positive;positive;positive;positive
901967680a3b4787b39a6beb15dea997d6f637d168f631e60f680399085b267b;7;4;Researchers claim quantum breakthrough;positive;positive;positive;positive;positive;positive;positive;positive
195b83a2f954744904be0f5234ab1e311c8a9d35b057e0a2a744f04904702e6f;7;5;Quantum device performs 2.6 billion years of computation in 4 minutes;positive;positive;positive;positive;positive;positive;positive;positive
6e8abe0d7c2dd8a173f20417dd695b202df68e1164f4519c6ee8a343485dc82a;7;6;Quantum Teleportation Was Just Achieved With 90% Accuracy Over a 44km Distance;positive;positive;positive;positive;positive;positive;positive;positive
aa06fc7c6e7cf20045c33d58c4806fa3fa37ded6cd7661c5b1ddc0e37edd108c;7;7;Google: We've made 'quantum supremacy' breakthrough with 54-qubit Sycamore chip;positive;positive;positive;positive;positive;positive;positive;positive
9aa9b7b6262e5b005032ded6f66456e7f78cc7d76edda40114d37ef27bc1cb12;7;8;Quantum 'spookiness' passes toughest test yet;neutral;positive;neutral;neutral;positive;positive;neutral;neutral
29297764d823210c31d28168deeb30a91e4d4978b10bf8b9a0675ddbc2b596b7;7;9;Strange new phase of matter created in quantum computer acts like it has two time dimensions;neutral;positive;neutral;positive;positive;positive;neutral;positive
dde2299e9e6a60a19468fbe2d0e775933b508048fad36c3725344325ac46ca92;7;10;Physicists Confirm The Existence of Time Crystals in Epic Quantum Computer Simulation;positive;positive;positive;positive;positive;positive;positive;positive
1998b1f0c32c239632a281c3d27669f7849b0007e68f89f04147b97a36a65935;7;11;Samsung develops method for self-emissive QLED;neutral;neutral;positive;neutral;positive;positive;neutral;positive
8ea4ba8801656b269bdf90c2078fe047e24bdf4227e9b4b14e1adc429d473f98;7;12;'Quantum time flip' makes light move simultaneously forward and backward in time;neutral;positive;neutral;positive;positive;positive;neutral;neutral
06399c5b4ab1a5472f8b503f64dcdd4c780bf8a06c73629571dafe49243a694d;7;13;Experiment confirms quantum theory weirdness;neutral;positive;neutral;neutral;positive;positive;neutral;neutral
605ce34a40a6581b6c88c335e82be5e7224586812afd8e6ee7ce0baafc1b526e;7;14;Otherworldly 'time crystal' made inside Google quantum computer could change physics forever;positive;positive;positive;positive;positive;positive;positive;positive
3b7cd20193006db9bbc577ed5875bb525338879b42c76c5c12b244387a5810dd;7;15;IBM just proved quantum computers can do things impossible for classical ones ;positive;positive;positive;positive;positive;positive;positive;positive
23d1b95ff5161dbca8f3c204f2106f97b83776ed28c3b2cb0f2af33544c80308;7;16;IBM unveils its 433 qubit Osprey quantum computer;positive;positive;positive;positive;positive;positive;positive;positive
e2f143a30e6988bcdfc8859ddf43e5e186b9ba4e019134be8a3be968f49baf88;7;17;Trump signs legislation to boost quantum computing research with $1.2 billion;positive;positive;positive;positive;positive;positive;positive;positive
117685caa073514fe73c350dabff4803f174fc7a2824050dfa35006b5dbc738a;7;18;Your brain might be a quantum computer that hallucinates math;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
f0e9921caa2f1a19dbcfb6fb57e5fd0d65ac37610d394524b7cced8ca750dbeb;7;19;Ancient Namibian stone holds key to future quantum computers | University of St Andrews news;positive;positive;positive;positive;positive;positive;positive;positive
04d0b5f99f47b05b52e2bc1a76cb676dac025415f29e096a0ab31d3eb279d1d0;7;20;Researchers teleport information within a diamond;positive;positive;positive;positive;positive;positive;positive;positive
ef43f8883015ee218167361e633f8079b5cd9ee16f0d0f3b43a69d364c82cf5f;7;1;Scientists Report Finding Reliable Way to Teleport Data;positive;positive;positive;positive;positive;positive;positive;positive
0dd45a56bdab6a6e4e45f49580dce6a1132ca5112ec93e557ecb479247e8b11e;7;2;Trapping the Tiniest Sound;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
04e35243dba48f516aab2258ae8b4a0c138ffa820cb2b865adc59266909109a1;7;3;Oxford Physicist Unloads on Quantum Computing Industry, Says It's Basically a Hype Bubble;negative;negative;negative;negative;negative;negative;negative;negative
e5e5913e209aa268744c836418e9d7fe9d771edb641ba253ae2ec8e7e00f80b7;7;4;Quantum causal relations: A causes B causes A;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
aaaaf2d45e8707f0312b069aef2fdad270d8ff400062152fa25e2bba9d6b1c8e;7;5;Two Diamonds Linked by Strange Quantum Entanglement;neutral;neutral;positive;neutral;neutral;positive;neutral;positive
90b2e04127e573538a9ed494b35a8632aa8b90bb676c66425dfe3c1f1ac289b5;7;6;Researchers create an 'un-hackable' quantum network over hundreds of kilometers using optical fiber;positive;positive;positive;positive;positive;positive;positive;positive
6cf1a48706f28308760b04053772040ba97f659d4952fad22dc478cc019ee4af;7;7;Open-air quantum teleportation performed across a 97km lake;positive;positive;positive;positive;positive;positive;positive;positive
fec93fbbb4ba66468152150231edd532fbde851a49940ce90ecaa692f460f34d;7;8;Quantum measurements leave Schrödinger's cat alive;neutral;neutral;positive;neutral;neutral;neutral;neutral;positive
b1ccad944a7f32a07834d7b41ed7590ed6ce09067b5c2838c7073851423bc53a;7;9;New research suggests our brains use quantum computation;neutral;neutral;positive;positive;neutral;positive;positive;positive
62077eaa137927fb40efd79dc9a4cf05f576c2302224d6c0dfa4abaf9454f495;7;10;China launches 'unhackable', quantum-secured smartphone;positive;positive;positive;positive;positive;positive;positive;positive
a950a8970ee56a73929725650036db031ca30585e56c600c84b28bf96f82ff81;7;11;Ancient Namibian stone could hold key to future quantum computers;neutral;neutral;positive;positive;neutral;positive;positive;positive
88770fb2890ab53c9458f6dcdb117605543d8574f331dbbd442bb23a8b60977b;7;12;A Quantum Solution to an 18th-Century Puzzle;neutral;positive;positive;positive;neutral;positive;positive;positive
1ffa4c02919bc8849f4df1fe7d2369a0bc2c2bc7c15049fe8aef672884223c63;7;13;Toshiba has invented a quantum cryptography network that even the NSA can’t hack;positive;positive;positive;positive;positive;positive;positive;positive
41fe5477fb1215e2fe84fc6052c9b38fea7b9fe4b9c55595eadf5d47f91222df;7;14;AI Designs Quantum Physics Experiments beyond What Any Human Has Conceived;positive;positive;positive;positive;positive;positive;positive;positive
3cba1b966b04bb45a0c163044a414adcf5ab2c9cbb30d316a22190b52f8ba620;7;15;US blacklists Chinese quantum computing firms over security fears;negative;negative;negative;negative;negative;negative;negative;negative
8ebd01e59b98b1bf0448b2f1f5c4eb38e86a5e733ed711cf48a46649b46ef932;7;16;New Study Fuels Debate About Source of Birds’ Magnetic Sense;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
95d91646c8913e57cb2f706ccb3fab13ae55d0082016db15c9441b32c5ac9182;7;17;IBM unveils first quantum computer in Germany – DW – 06/15/2021;positive;positive;positive;positive;positive;positive;positive;positive
29aacf90c0bb542751556541980cb921498d68d374feef5848a2daeb0a80421c;7;18;The Philosophy of Guessing Has Harmed Physics, Expert Says;neutral;neutral;negative;neutral;neutral;negative;neutral;negative
cae580937865123e8e287977338a31aa6aa241b06d8497604195ac6a2d542e73;7;19;Google reportedly attains 'quantum supremacy';positive;positive;positive;positive;positive;positive;positive;positive
0bd49370ee2c42be2cd8441bac2013ba14781aee228ddf96894bcd9a41ee6a88;7;20;Google Unveils 72-Qubit Quantum Computer With Low Error Rates;positive;positive;positive;positive;positive;positive;positive;positive
9b2f68aa0a4f075ec52bff19436a0f5b5041f73aa00c60a1020010bf60359fdf;7;1;Physicists Just Quantum Teleported Information Between Particles of Matter;positive;positive;positive;positive;positive;positive;positive;positive
65d178ab1755fe72794383d2a04084c8a9dffa268212d16832a8c08120c6920d;7;2;Physicists Say Aliens May Be Using Black Holes as Quantum Computers;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
f03e79be4c968095d5f1e3b63bc4c9dc2df54259df93de0a4963728af4193288;7;3;In a Quantum Future, Which Starship Destroys The Other?;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
c7c3ba82a7b0f2f913cac7ec1f9a7a4ac50b6af0e462f4e31990aed2c694c775;7;4;This Glowing Crystal Has the Quantum Internet Within Reach;positive;positive;positive;positive;positive;positive;positive;positive
279bd7d9482f5c5cb0b48da7f10a0acbfb0ca1ca6b39d7bed849fa9e1ca3f764;7;5;Big Bang theory under threat from quantum graphity breakthrough;negative;negative;neutral;negative;negative;neutral;neutral;negative
0e2c511268f9d5f0e1d3449da52a048a8fdc7b62e2dde7f005e91eba5787d508;7;6;Quantum tunneling in graphene advances the age of terahertz wireless communications;positive;positive;positive;positive;positive;positive;positive;positive
0b2c7fbc152b3e9d3a52714b4970912f238562d485080f628032be3c76266761;7;7;Study Confirms: Global Quantum Internet Really Is Possible;positive;positive;positive;positive;positive;positive;positive;positive
4af6c1fcd8ea04e11b61d9dd9949aee2f906c9839a9df57651fe4ee255d77f75;7;8;Scientists announce major breakthrough in 'quantum teleportation';positive;positive;positive;positive;positive;positive;positive;positive
0deea3506c00dd4a4d67a8411123c2d0e7053620ef64df1a5cf01e3d6272b5d0;7;9;Scientists discover way to make quantum states last 10,000 times longer;positive;positive;positive;positive;positive;positive;positive;positive
c6fa1f05a17773064ca90289cfc5153caa0e4780b78cea5593e2548b3ff70026;7;10;Quantum Chip Takes Microseconds to Do a Task a Supercomputer Would Spend 9,000 Years On;positive;positive;positive;positive;positive;positive;positive;positive
67f791878bd165e3943cf9c59e5af0548d1214f319f2d923e140a7edbe651450;7;11;A quantum computer just solved a decades-old problem three million times faster than a classical computer;positive;positive;positive;positive;positive;positive;positive;positive
c92b11e5facbe9bd5c90b702b5a9e1d1e8d0d8d8a4d0c7b85729bd2b559a210f;7;12;Antimatter acts like regular matter in classic double-slit experiment;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
2be0d8fe7e5daa86ffb1b15af7319940e649bf382eede35623ee5b04f9068395;7;13;Free Open-Access Quantum Computer Now Operational;positive;positive;positive;positive;positive;positive;positive;positive
bde786e25c05f23816451f432f9a0e634997366b567e201ae9efcb6c036a367c;7;14;Government Lab Reveals It Has Operated Quantum Internet for Over Two Years;positive;positive;positive;positive;positive;positive;positive;positive
0bcc1e323e41ebf61d76b7695132dabca1a6089eaf7aeb17cdbb937a6c547c49;7;15;The case against dark matter;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
198e2416cf4bae6d79ecf481c6468a7871e786996523c95324b8549d611ae84f;7;16;UK military wants to install quantum computers in tanks;positive;neutral;neutral;positive;neutral;neutral;neutral;neutral
3160a1832a29ffc7580ad55a00f2f6dd94c03fba90beb4306afb822112f18a12;7;17;Quantum computers may be for sale sooner than you think. And Canadian firms are at the forefront | CBC News;positive;positive;positive;positive;positive;positive;positive;positive
f19ad34e670bf695d067d5213d8ce141090285a119f44585635a973c8fbd32dc;7;18;Quantum internet closer as physicists stretch spooky link between atoms;positive;positive;positive;positive;positive;positive;positive;positive
c21ef5cec094b63c1f442501cbce6fc262e8445ee93c4353c9626b48fda1bcf3;7;19;Hot qubits made in Sydney break one of the biggest constraints to practical quantum computers;positive;positive;positive;positive;positive;positive;positive;positive
bb6823749eb0cf27b1606d33ffc5f79153d89c8199956820434bcc892059849e;7;20;First quantum jiggles detected in solid object;positive;positive;positive;positive;positive;positive;positive;positive
242c303d2ef7dccd3f1572bc5c8d89c1c1793e38a0330dbf421555089c5a06a9;7;1;“Schrödinger’s Bacterium” Could Be a Quantum Biology Milestone;positive;positive;positive;positive;positive;positive;positive;positive
09c00dfab63ed58c4b3fb2027d11b33257a221cfe256ab78f73108b60375f009;7;2;New invention keeps qubits of light stable at room temperature;positive;positive;positive;positive;positive;positive;positive;positive
7bc6583ee6d886ef9791bce115655421aacee2e4ec545f0e1919235c636699b8;7;3;"Researchers achieve first ""sustained"" long distance quantum teleportation";positive;positive;positive;positive;positive;positive;positive;positive
d752eba1fa418dcb19b61b11069aa6250c40d25edf05b99989d793a3f5851db7;7;4;IBM will sell 50-qubit universal quantum computer “in the next few years”;positive;positive;positive;positive;positive;positive;positive;positive
4a3596cd115a7baec320f82180c6385ad1e99fb79d1f7766c16fd2d4192bc170;7;5;NSA doesn't think quantum computers can break public key encryption;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
53fbb2ed27c346d32dbc9f483eb6066c0db3b04368b7f24454135a1c02c036b1;7;6;Quantum gravity takes singularity out of black holes;positive;positive;positive;positive;positive;positive;positive;positive
77ec19395c3d2e413ba3d746532ba5c85c25ca2a9f12a19c7e2bbef47f0bb09d;7;7;Scientists take huge step towards revolutionary ‘quantum internet’;positive;positive;positive;positive;positive;positive;positive;positive
9738f872ed91cf0c477816858b210ee18477185564a813034c25685b2dd51d7a;7;8;Photons detected without being destroyed;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
2e61a3b5db1353cdfe631e5d3503b0d15195aded0b1317486e81220121a3b43c;7;9;In the Blink of Bird's Eye, a Model for Quantum Navigation;neutral;positive;neutral;positive;positive;positive;neutral;positive
f46c396edc7a3ded7d1932c53ab7497da08b2389dfa4186760135a0031b051a2;7;10;Aliens could send quantum messages to Earth, calculations suggest;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
7e5fb72a17c7e3c531ad507d3dcd5bd099269d1974d6535fb417fd023ae8d95d;7;11;New qubit control bodes well for future of quantum computing;positive;positive;positive;positive;positive;positive;positive;positive
df5416072c5502fcd179e7bbd9d59634a2c264451b25fe13950f576dac0663db;7;12;Amazon is opening a center for quantum networking research | Engadget;positive;positive;positive;positive;positive;positive;positive;positive
3a6b62ee4038bc1caf0f1c89fbe182f03c80a3eebf93bac19a30cc56911cf07c;7;13;Bizarre new quantum research: Reality itself may be subjective;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
ca035181d7befd6377ea18af295049b6a3bd483c6f94d35b8cce070c078fa65b;7;14;Engineers crack 58-year-old puzzle on way to quantum breakthrough;positive;positive;positive;positive;positive;positive;positive;positive
986a55784c03dcdb71c5897432551c692e182caa7e21577e732794bbe0f05cff;7;15;New Quantum Technology To Make Charging Electric Cars As Fast as Pumping Gas;positive;positive;positive;positive;positive;positive;positive;positive
71b37250c7f3bb15759597474e927385f2aff6ac610a14792688bfdc4e575a4d;7;16;Ultra-weak gravitational field detected;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
d12a09ea3ce255785c7308048b93287235713b3e2af06b771f4654c3ded96d18;7;17;New AMD Patent Proposes Teleportation to Make Quantum Computing More Efficient;positive;positive;positive;positive;positive;positive;positive;positive
ca2e2ee5d2e3091569a9caa499f6cde9cb0477e40ca948d080720dcc0d2a88f4;7;18;Chicago expands and activates quantum network, taking steps toward a secure quantum internet;positive;positive;positive;positive;positive;positive;positive;positive
76ce4cf476b0fba2feaa2e284274ce84f156b133ab4126cb9041b5e2c3ad8570;7;19;SU(N) matter is about 3 billion times colder than deep space;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
fa45bb4e5a1ff9353de43555f3a9f9aa1030de53a192ce93011d289820241189;7;20;Dwave has a 1000 qubit quantum computer now in their lab and will release in later in 2014 | NextBigFuture.com;positive;positive;positive;positive;positive;positive;positive;positive
af95ecc5118a0e8112771a7d2f01227bcc3156db9a19e968cabbdfd67e161e4a;7;1;You thought quantum mechanics was weird: check out entangled time | Aeon Ideas;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
398adceecc3273c80dba6f25ad70c4e04e3d30a6ad4ea037b18cbba24e0389f6;7;2;Metro Vancouver firm’s groundbreaking quantum computer wins confidence of U.S. aerospace giant ;positive;positive;positive;positive;positive;positive;positive;positive
76c971eff2c22979a55cadcf6f5a6edc1b069381f6a93485305cef48831b5c07;7;3;‘Urgent’ Warning Issued Over The Future Of Bitcoin Even As The Crypto Market Price Smashes Past $2 Trillion;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
37a4407d48b3a5537fc5de3cba040359104312f2235a41525e31e3fbdf7ccfd9;7;4;Eco-Friendly Nanoparticles for Artificial Photosynthesis;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
b8954375d63dbe9af7aeee42a446e2da4686483a14ba9dda5640a07ac5af4bd7;7;5;Microsoft Says Its Had a Breakthrough in Quantum Computer System;positive;positive;positive;positive;positive;positive;positive;positive
105be516af6ed91a2be61dedadc92fa90235680ccc4e00fa3276d836f586e6e1;7;6;Scientists calculate absolute quantum speed limit for electronics;positive;neutral;positive;positive;positive;neutral;positive;positive
e268a3100bd2bf15c77f5fee34c7de4e01bd14033c0e282dfdcdd216a42422c0;7;7;Quantum microphone counts particles of sound | Stanford News;positive;neutral;neutral;positive;positive;neutral;positive;positive
4b865ce095268498e64a8f5d11ab8f2586a4f0e058562604901680fe68dd26bb;7;8;Quantum hackers can bring down Bitcoin: expert;negative;negative;negative;negative;negative;negative;negative;negative
0a36598418fef43301f9a364903b8e2523d34619b10c28b23f506fb457455fdb;7;9;NIST Quantum Refrigerator Offers Extreme Cooling and Convenience;positive;positive;positive;positive;positive;positive;positive;positive
626eb66fedcae59f9278664c99144098f07bfe149757f1e9e6683d4e31946b95;7;10;Major Quantum Computing Advance Made Obsolete by Teenager | Quanta Magazine;negative;negative;negative;negative;negative;negative;neutral;negative
4662805110723ef2a6bf57a1262de8bbf345f33e5aee808e35a44c96d582b24c;7;11;Harvard-MIT Quantum Computing Breakthrough – “We Are Entering a Completely New Part of the Quantum World”;positive;positive;positive;positive;positive;positive;positive;positive
95fa0265697a7f0067a3c0ccc3ccf6713b830925f180c22b09e29b5f4c1eb463;7;12;Quantum Teleportation Enters the Real World;positive;positive;positive;positive;positive;positive;positive;positive
0ba5397aa7e55a3599693501b77e8f8658d0306f88bc26e4433655ecb2e9896e;7;13;Large-scale quantum chip validated;positive;positive;positive;positive;positive;positive;positive;positive
74435a27b9cd11244137c122407b177cbfa1fd2d26a7ecb9c8c798a89b802f56;7;14;Nasa scientists achieve long-distance quantum teleportation that could pave way for quantum internet;positive;positive;positive;positive;positive;positive;positive;positive
1a86bf3d473f8bb8a5f6bf4363326801c29b71c762ccd8df2b6c67c93872d8df;7;15;Flipping the switch;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
29c78ffc62beebcc4df8e6c87f47a58bee0cc4d6183ba50c883baecba6bc320d;7;16;Harvard-led physicists create 256-qubit programmable quantum simulator;positive;positive;positive;positive;positive;positive;positive;positive
eaaffba4c5f53b9a0962c45494864cde9445a0e328778180f8d0e1238fc94f76;7;17;Mathematical calculations show that quantum communication across interstellar space should be possible;positive;positive;positive;positive;positive;positive;positive;positive
28dc4cea2e5191b861553243d4fc662a282c4e7db068ca311a33f044e0d08df6;7;18;Google’s Quantum Dream Machine;positive;positive;positive;positive;positive;positive;positive;positive
67c47b25edf1d5f068270aa4c1d18b0a8258c7ecc2d6e2cb3f5deb2014488300;7;19;Artificial intelligence reduces a 100,000-equation quantum physics problem to only four equations;positive;positive;positive;positive;positive;positive;positive;positive
ec6950e4738a52f153382ef5921a5a769042fdbd47c85d9fcf242ea396ced227;7;20;Fluxonium qubits bring the creation of a quantum computer closer;positive;positive;positive;positive;positive;positive;positive;positive
42ab40eb67912bbf9099d0fb97d2cb0d211f13f94a4dc55c887174832b65a481;7;1;Quantum Random Number Generator Created Using A Smartphone Camera;positive;positive;positive;positive;positive;positive;positive;positive
6763d5878b0ccdf4ed74af92684bdc0977ecaf9627da4bd6f73de0ef59e172a4;7;2;Cyber Insights 2023 | Quantum Computing and the Coming Cryptopocalypse;negative;negative;negative;negative;negative;negative;negative;negative
aadb1f281f6e55b296321264cc37677a39e867259d257e3a4c75a99fc9e2e4a4;7;3;New quantum paradox reveals contradiction between widely-held beliefs;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
